<OPEN>17/09;<HIGH>17/09;<LOW>17/09;<CLOSE>17/09;<OPEN> 17/11;<HIGH> 17/11;<LOW> 17/11;<CLOSE> 17/11;<OPEN> 15/12;<HIGH>15/12;<LOW> 15/12;<CLOSE> 15/12;<OPEN> 17/12;<HIGH> 17/12;<LOW> 17/12;<CLOSE> 17/12
108230;108380;108000;108110;117280;117690;116990;117100;111880;112180;111880;112110;111030;111160;111030;111080
108110;108110;107960;108010;117100;117100;116810;117070;112120;112260;112040;112240;111080;111110;111040;111080
108010;108070;107960;107960;117070;117170;117050;117130;112240;112330;112210;112260;111080;111150;110920;111090
107950;108080;107950;108060;117150;117160;117000;117020;112270;112280;112110;112190;111090;111260;111090;111230
108060;108150;108040;108080;117030;117130;117000;117110;112200;112270;112140;112240;111220;111230;111160;111170
108070;108070;107930;107930;117130;117150;117060;117130;112240;112310;112230;112250;111180;111190;111060;111130
107960;107960;107650;107740;117140;117240;117140;117180;112260;112350;112260;112280;111140;111190;111130;111140
107760;107880;107760;107810;117160;117160;117030;117040;112280;112340;112240;112340;111130;111200;111120;111190
107830;107920;107830;107920;117040;117050;116900;116960;112340;112340;112260;112280;111190;111200;111150;111180
107900;107920;107810;107920;116940;117000;116890;116990;112300;112300;112260;112280;111190;111200;111100;111120
107940;107940;107790;107820;117000;117020;116920;116950;112270;112370;112220;112220;111130;111290;111130;111170
107820;107820;107770;107820;116950;116990;116900;116980;112220;112230;112170;112220;111180;111200;111130;111160
107820;107890;107800;107840;116970;116980;116910;116960;112230;112270;112210;112240;111160;111220;111160;111200
107860;107960;107860;107940;116940;116970;116860;116880;112240;112280;112180;112280;111190;111250;111160;111240
107930;107930;107800;107870;116870;116880;116750;116820;112270;112280;112210;112260;111230;111280;111190;111220
107820;107850;107780;107800;116830;116830;116660;116790;112280;112280;112150;112200;111220;111230;111130;111150
107770;107830;107750;107790;116780;116790;116630;116680;112190;112250;112160;112230;111150;111230;111150;111200
107780;107860;107720;107860;116670;116720;116660;116710;112230;112240;112160;112240;111220;111450;111220;111360
107890;107930;107890;107930;116710;116790;116640;116780;112230;112270;112180;112260;111350;111390;111340;111340
107860;107900;107820;107890;116790;116840;116740;116750;112260;112330;112230;112320;111350;111440;111350;111370
107860;107890;107810;107810;116760;116800;116710;116790;112310;112380;112260;112270;111380;111470;111380;111430
107810;107810;107750;107780;116790;116800;116700;116740;112270;112310;112230;112310;111440;111480;111400;111460
107780;107800;107750;107770;116710;116760;116700;116730;112310;112380;112310;112330;111470;111580;111450;111480
107780;107850;107780;107830;116720;116740;116650;116660;112330;112350;112290;112330;111490;111510;111440;111440
107830;107830;107760;107760;116660;116780;116650;116770;112320;112370;112290;112310;111450;111470;111440;111460
107750;107750;107680;107750;116780;116820;116730;116740;112310;112400;112180;112200;111470;111630;111470;111590
107740;107790;107700;107730;116750;116800;116740;116790;112200;112250;112180;112190;111590;111600;111480;111520
107730;107860;107730;107850;116800;116810;116770;116810;112190;112260;112180;112240;111530;111550;111460;111470
107780;107800;107750;107800;116810;116820;116770;116810;112240;112280;112090;112150;111460;111550;111460;111550
107860;107860;107810;107820;116810;116830;116740;116750;112160;112210;112150;112200;111540;111590;111540;111590
107810;107900;107810;107860;116740;116750;116660;116700;112220;112260;112170;112230;111580;111630;111550;111560
107890;107970;107890;107970;116690;116720;116660;116670;112230;112300;112230;112260;111560;111600;111550;111580
107970;108010;107940;107970;116660;116760;116640;116720;112260;112310;112240;112290;111580;111590;111480;111520
107980;108020;107960;108000;116730;116740;116650;116690;112290;112340;112280;112310;111530;111550;111480;111490
107980;108080;107980;108030;116700;116750;116690;116710;112320;112420;112290;112390;111490;111550;111430;111450
108030;108060;108010;108020;116720;116720;116650;116690;112390;112460;112370;112380;111450;111520;111430;111460
108020;108060;108010;108040;116700;116750;116670;116730;112380;112390;112310;112360;111470;111480;111400;111400
108060;108110;108020;108020;116750;116910;116730;116910;112360;112410;112350;112400;111400;111480;111400;111460
108050;108090;108020;108050;116910;116920;116830;116890;112380;112430;112360;112390;111470;111500;111450;111460
108050;108070;107990;108020;116910;117000;116900;117000;112400;112430;112350;112400;111470;111520;111440;111440
108030;108040;107900;107930;117000;117020;116930;116940;112400;112430;112360;112390;111440;111470;111430;111440
